Number,Tract,Point,Depth (cm),Area,Falcon Tube (g),0.5M HCl (g),Sample+F.T.+HCl (g),Soil (g),Abs. DI,Abs. Hydroxalamine ,DI dilution,Hydrox Dilution,Fe(II) mmol/L,Fe(II)+ Fe(III) mmol/L,Fe(II)_mg.g,Fe_all_mg.g,Fe(III)_mg.g,,,,,,,,,,,,,,,,,,
1,T1,P1,0-15,East End,13.29,28.66,50.46,8.51,1.255,1.369,100,100,60.59,85.78,20.785,29.43,8.64,,,,,,,,,,,,,,,,,,
3,T1,P2,0-15,East End,13.21,29.06,49.8,7.53,0.605,0.735,100,100,27.66,45.71,10.627,17.56,6.94,,,,,,,,,,,,,,,,,,
5,T1,P3,0-15,East End,13.37,29.84,50.28,7.07,0.696,0.742,100,100,32.33,44.60,12.708,17.53,4.82,,,,,,,,,,,,,,,,,,
7,T1,P4,0-15,East End,13.35,30.3,53.31,9.66,0.823,0.868,100,100,38.76,52.60,11.241,15.25,4.01,,,,,,,,,,,,,,,,,,
9,T1,P5,0-15,East End,13.22,30.11,50.01,6.68,0.653,0.621,100,100,30.21,35.44,13.425,15.75,2.32,,,,,,,,,,,,,,,,,,
11,T2,P1,0-15,East End,13.16,30.2,49.99,6.63,0.711,0.821,100,100,33.04,50.82,15.631,24.04,8.41,,,,,,,,,,,,,,,,,,
13,T2,P2,0-15,East End,13.43,30.05,49.31,5.83,0.593,0.58,100,100,27.16,33.19,13.155,16.07,2.92,,,,,,,,,,,,,,,,,,
15,T2,P3,0-15,East End,13.05,30.07,49.64,6.52,0.693,0.668,100,100,32.23,38.56,14.266,17.07,2.80,,,,,,,,,,,,,,,,,,
17,T2,P4,0-15,East End,13.29,29.98,50.02,6.75,0.669,0.621,100,100,31.04,35.15,13.358,15.13,1.77,,,,,,,,,,,,,,,,,,
19,T2,P5,0-15,East End,13.23,30.37,49.88,6.28,0.636,0.631,100,100,29.33,36.58,13.321,16.61,3.29,,,,,,,,,,,,,,,,,,
21,T3,P1,0-15,East End,13.15,30.25,48.1,4.7,0.578,0.583,100,100,26.39,33.71,18.519,23.66,5.14,,,,,,,,,,,,,,,,,,
23,T3,P2,0-15,East End,13.32,29.94,48.52,5.26,0.506,0.604,100,100,22.67,36.78,12.974,21.05,8.07,,,,,,,,,,,,,,,,,,
25,T3,P3,0-15,East End,13.49,30.02,49.95,6.44,0.705,0.717,100,100,32.81,42.37,13.703,17.69,3.99,,,,,,,,,,,,,,,,,,
27,T3,P4,0-15,East End,13.31,29.89,50,6.8,0.663,0.712,100,100,30.66,42.74,12.103,16.87,4.77,,,,,,,,,,,,,,,,,,
29,T3,P5,0-15,East End,13.12,30.32,49.91,6.47,0.777,0.826,100,100,36.43,50.00,19.214,26.37,7.16,,,,,,,,,,,,,,,,,,
31,T1,P1,0-15,West Pond,13.18,30.02,47.98,4.78,0.897,0.272,1,5,0.43,0.11,0.810,0.21,-0.60,,,,,,,,,,,,,,,,,,
33,T1,P2,0-15,West Pond,13.21,30.99,49.03,4.83,0.499,0.165,1,5,0.23,0.04,0.461,0.08,-0.38,,,,,,,,,,,,,,,,,,
35,T1,P3,0-15,West Pond,13.38,30.32,49.61,5.91,0.791,0.219,1,5,0.38,-0.01,0.653,-0.02,-0.67,,,,,,,,,,,,,,,,,,
37,T1,P4,0-15,West Pond,13.11,30.02,48.77,5.64,0.619,0.184,1,5,0.29,0.01,0.480,0.01,-0.47,,,,,,,,,,,,,,,,,,
39,T1,P5,0-15,West Pond,13.08,30.08,50.4,7.24,0.765,0.23,1,5,0.36,0.06,0.538,0.09,-0.45,,,,,,,,,,,,,,,,,,
