Sample,MG_name,latitude,longitude,Date.x,Index,Location,Pl_Sp,EWcoastGroup,SALTgroup,LU,Depth,Salinity.x,Core_Weight_oz,Temp,Conductivity,CO2_uM_m2_s,CH4_uM_m2_s,CO2_mg_m2_h,CH4_ug_m2_h,CH4_ppm_s,CO2_ppm_s,D1_Read_count,iTag_name.x,Part_DM,pH,Cl,SO4,OM_LOI,Corg_LOI,N,C,NO3_N,NH4_N,Olsen_P,P,Zn,Mn,Fe,Cu,EW.no,SampNO,PW_LABEL,Salinity.y,DOC_mg_L,NO2_pw,PO4_pw,SO4_pw,NO3_pw,NO2_pw.1,Cl_pw,Br_pw,F_pw,Na_pw,Mg_pw,Ca_pw,K_pw,Sr_pw,Fe_pw,Mn_pw,Al_pw,Si_pw,Co_pw,Cu_pw,Zn_pw
Sandmound_CattailA_D2,NA,38.000706,-121.624306,9/5/2013,84,Sandmound,Cattail,SF_Ref,FW,Ref,d2,0.584762462,12,22,1100,16.57037185,-0.001135456,2.710899281,-0.254840416,-2.79E-05,0.406714777,165123,s084_Sandmound_CattailA_D2,19.7,5.64,11.46,50.3,38.23,22.17,1.19,20.65,0.22,33.55,9.7,0.083,87,367,21840,78,84,s084,W10,0.58,16.21,NA,10.3675,0.7205,NA,NA,204.5395,1.3155,0.221,105517.92,27486.62,47456.79,2592.95,241.82,424.33,577.28,18.74,14048.85,0.19,1.74,NA
Sandmound_TuleA_D2,Sandmound_TuleA_D2,38.000706,-121.624306,9/5/2013,85,Sandmound,Tule,SF_Ref,FW,Ref,d2,0.593425419,12.2,22.5,1134,9.052733722,0.019929985,1.481019832,4.473064042,0.000489175,0.222196617,171852,s085_Sandmound_TuleA_D2,24.5,5.91,10.72,84.6,27.4,15.89,0.965,14.98,0.63,48.13,14.2,0.09,90,783,26590,65,85,s085,W14,0.59,9.863,0.997,NA,3.436,NA,0.997,266.143,1.438,0.403,114758.69,25081.42,51564.87,NA,254.07,615.38,272.04,25.25,10496.08,0.43,3.21,NA
Sandmound_TuleB_D2,Sandmound_TuleB_D2,38.000706,-121.624306,9/5/2013,86,Sandmound,Tule,SF_Ref,FW,Ref,d2,0.602620915,11.4,22.3,1146,25.50960899,-0.001260655,4.173351163,-0.282940133,-3.09E-05,0.626125654,1298,s086_Sandmound_TuleB_D2,24.7,5.85,13.3,40.7,25.65,14.88,0.923,13.59,0.8,35.32,13.9,0.09,94,587,28700,65,86,s086,W15,0.57,11.77,0.9795,1.542,0.8755,NA,0.9795,217.5955,1.4965,0.4275,96669.1,26016.8,59069.71,NA,258.94,624.42,1175.01,20.63,12043.69,0.39,1.35,NA
Sandmound_TuleC_D2,Sandmound_TuleC_D2,38.000706,-121.624306,9/5/2013,87,Sandmound,Tule,SF_Ref,FW,Ref,d2,0.566468299,11.8,22,1073,10.78528512,0.004125327,1.764463823,0.925883825,0.000101255,0.264721569,115006,s087_Sandmound_Tule_C_D2,24.9,5.69,13.71,65.1,24.35,14.12,0.941,13.27,NA,21.19,10.9,0.085,95,639,29390,67,87,s087,W16,0.6,17.8,0.796,2.006,17.314,NA,0.796,553.602,2.016,0.146,238099.57,51492.04,77352.15,371.64,508.07,3796.41,3033.7,21.33,11216.38,2.07,4.77,NA
Sandmound_ThreeSqA_D2,Sandmound_ThreeSqA_D2,38.000637,-121.624207,9/5/2013,88,Sandmound,ThreeSquare,SF_Ref,FW,Ref,d2,0.661564933,11.4,22.4,1256,24.1658074,0.003174626,3.953506323,0.712509492,7.79E-05,0.59314245,136497,s088_Sandmound_ThreeSqA_D2,24,6.15,15.32,68.9,29.07,16.86,1.016,17.79,0.52,85.49,7.2,0.089,97,630,26270,75,88,s088,W11,0.66,10.19,1.014,0.752,10.555,0.051,1.014,316.694,1.5215,0.399,144427.16,25688.29,49568.66,NA,228.64,320.11,124.17,21.39,8136.54,0.24,3.16,NA
Sandmound_ThreeSqB_D2,Sandmound_ThreeSqB_D2,38.000637,-121.624207,9/5/2013,89,Sandmound,ThreeSquare,SF_Ref,FW,Ref,d2,0.584762462,11.8,22.2,1111,16.16384373,0.002948362,2.644391613,0.661727234,7.24E-05,0.396736667,154948,s089_Sandmound_ThreeSqB_D2,23,5.94,18.52,58.8,28.18,16.35,1.021,16.23,0.68,29.48,8.6,0.095,88,581,25290,68,89,s089,W12,0.58,11.7,0.9705,NA,2.356,NA,0.9705,218.6595,1.289,0.407,103955.03,21267.82,48449.61,NA,211.07,2565.08,576.19,22.06,10336.97,0.6,1.42,NA
Sandmound_ThreeSqC_D2,Sandmound_ThreeSqC_D2,38.000706,-121.624306,9/5/2013,90,Sandmound,ThreeSquare,SF_Ref,FW,Ref,d2,0.631436206,11.2,22.2,1196,30.73797003,-0.001520827,5.028706753,-0.341332784,-3.73E-05,0.754454198,180819,s090_Sandmound_ThreeSqC_D2,24.6,6.11,13.12,54.8,29.23,16.96,1.02,15.95,0.68,47.43,12.4,0.098,86,1164,25180,64,90,s090,W13,0.63,11.45,NA,NA,15.828,0.0845,NA,418.5935,1.795,0.417,181577.27,33854.91,56285.76,NA,331.13,271.27,385.36,18.27,10055.29,1.23,3.45,NA
WestPond_TuleA_D2,WestPond_TuleA_D2,38.107059,-121.647591,10/14/2013,91,WestPond,Tule,SF_Rest,FW,West,d2,0.358055401,8.2,14,575,148.874059,1.257483677,24.35567428,282.2282567,0.030864557,3.654068852,138427,s091_WestPond_TuleA_D2,9.8,5.78,9.41,42.6,65.73,38.12,1.533,34.88,2.14,67.11,8.5,0.119,48,136,13180,40,91,s091,W83,0.36,10.65,0.982,NA,7.9715,0.594,0.982,160.541,1.0485,0.427,67222.29,20835.52,45960.11,1141.02,206.84,80.48,0.9,26.53,10654.28,0.15,0.89,NA
WestPond_TuleB_D2,WestPond_TuleB_D2,38.107059,-121.647591,10/14/2013,92,WestPond,Tule,SF_Rest,FW,West,d2,0.380244176,7.8,13.7,605,59.76685661,0.141310035,9.77780885,31.71546917,0.003468412,1.466959459,136744,s092_WestPond_TuleB_D2,11.5,5.8,7.56,63.3,60.06,34.84,1.592,32.85,2.9,75.99,5.7,0.107,46,139,15880,38,92,s092,W84,0.38,10.24,1.12,NA,12.154,0.079,1.12,115.5075,0.942,0.4505,57146,15183.38,37792.07,5081.79,141.74,49.43,50.3,22.9,12007.63,0.21,0.5,NA
WestPond_TuleC_D2,WestPond_TuleC_D2,38.107059,-121.647591,10/14/2013,93,WestPond,Tule,SF_Rest,FW,West,d2,0.374460255,9.4,13.9,599,28.30481404,0.004572012,4.630644423,1.026137308,0.000112219,0.694733119,159529,s093_WestPond_TuleC_D2,7.5,5.97,9.37,59.3,77.36,44.87,1.719,40.03,2.88,101.27,9.4,0.112,38,85,9930,33,93,s093,W85,0.37,15.72,0.9945,0.844,28.0435,4.4145,0.9945,187.8235,1.0555,0.4675,87546.9,20383.92,40939.41,4173.92,173.97,47.02,0.66,35.34,10294.88,0.37,20.36,15.68
