Number,Tract,Point,Depth (cm),Area,DI water (g),Soil (g),Ratio,pH,,,,,
1,T1,P1,0-15,East End,10,5.07,1.97,6.21,,,,,
3,T1,P2,0-15,East End,10,5,2.00,5.8,,,,,
5,T1,P3,0-15,East End,10,4.98,2.01,6.04,,,,,
7,T1,P4,0-15,East End,10,4.98,2.01,6,,,,,
9,T1,P5,0-15,East End,10,4.99,2.00,6.02,,,,,
11,T2,P1,0-15,East End,10,5,2.00,6.06,,,,,
13,T2,P2,0-15,East End,10,4.98,2.01,5.99,,,,,
15,T2,P3,0-15,East End,10,4.98,2.01,6.24,,,,,
17,T2,P4,0-15,East End,10,5.02,1.99,6.03,,,,,
19,T2,P5,0-15,East End,10,4.98,2.01,6.03,,,,,
21,T3,P1,0-15,East End,10,5,2.00,5.83,,,,,
23,T3,P2,0-15,East End,10,5,2.00,5.4,,,,,
25,T3,P3,0-15,East End,10,4.98,2.01,6.04,,,,,
27,T3,P4,0-15,East End,10,4.99,2.00,6.18,,,,,
29,T3,P5,0-15,East End,10,4.98,2.01,5.78,,,,,
31,T1,P1,0-15,West Pond,10,5,2.00,6.34,,,,,
33,T1,P2,0-15,West Pond,10,5.01,2.00,6.31,,,,,
35,T1,P3,0-15,West Pond,10,4.99,2.00,6.09,,,,,
37,T1,P4,0-15,West Pond,10,5.01,2.00,6.12,,,,,
39,T1,P5,0-15,West Pond,10,4.98,2.01,6.04,,,,,
41,T2,P1,0-15,West Pond,10,5.01,2.00,6.6,,,,,
43,T2,P2,0-15,West Pond,10,4.99,2.00,5.98,,,,,
45,T2,P3,0-15,West Pond,10,5.01,2.00,6.23,,,,,
47,T2,P4,0-15,West Pond,10,4.98,2.01,6.4,,,,,
49,T2,P5,0-15,West Pond,10,4.98,2.01,6.28,,,,,
51,T3,P1,0-15,West Pond,10,5.02,1.99,6.3,,,,,
53,T3,P2,0-15,West Pond,10,5.01,2.00,6.41,,,,,
55,T3,P3,0-15,West Pond,10,5.01,2.00,6.68,,,,,
57,T3,P4,0-15,West Pond,10,4.98,2.01,6.79,,,,,
59,T3,P5,0-15,West Pond,10,5,2.00,6.34,,,,,
2,T1,P1,15-30,East End,10,4.98,2.01,5.22,,,,,
4,T1,P2,15-30,East End,10,5,2.00,5.63,,,,,
6,T1,P3,15-30,East End,10,5.01,2.00,5.01,,,,,
8,T1,P4,15-30,East End,10,5,2.00,4.7,,,,,
10,T1,P5,15-30,East End,10,4.99,2.00,4.92,,,,,
12,T2,P1,15-30,East End,10,4.98,2.01,5.63,,,,,
14,T2,P2,15-30,East End,10,5.02,1.99,5.24,,,,,
16,T2,P3,15-30,East End,10,5.02,1.99,5.23,,,,,
18,T2,P4,15-30,East End,10,4.98,2.01,5.69,,,,,
20,T2,P5,15-30,East End,10,4.98,2.01,4.39,,,,,
22,T3,P1,15-30,East End,10,4.99,2.00,5.05,,,,,
24,T3,P2,15-30,East End,10,5,2.00,5.75,,,,,
26,T3,P3,15-30,East End,10,5,2.00,5.34,,,,,
28,T3,P4,15-30,East End,10,4.98,2.01,5.87,,,,,
30,T3,P5,15-30,East End,10,4.99,2.00,5.33,,,,,
32,T1,P1,15-30,West Pond,10,5.02,1.99,6.24,,,,,
34,T1,P2,15-30,West Pond,10,5,2.00,6.21,,,,,
36,T1,P3,15-30,West Pond,10,4.99,2.00,6,,,,,
38,T1,P4,15-30,West Pond,10,4.98,2.01,6.46,,,,,
40,T1,P5,15-30,West Pond,10,4.98,2.01,6.46,,,,,
42,T2,P1,15-30,West Pond,10,4.98,2.01,5.86,,,,,
44,T2,P2,15-30,West Pond,10,4.98,2.01,6.19,,,,,
46,T2,P3,15-30,West Pond,10,5.02,1.99,6.01,,,,,
48,T2,P4,15-30,West Pond,10,5.02,1.99,6.2,,,,,
50,T2,P5,15-30,West Pond,10,5.02,1.99,6.34,,,,,
52,T3,P1,15-30,West Pond,10,5.02,1.99,6.31,,,,,
54,T3,P2,15-30,West Pond,10,4.98,2.01,6.15,,,,,
56,T3,P3,15-30,West Pond,10,4.98,2.01,6.2,,,,,
58,T3,P4,15-30,West Pond,10,5.02,1.99,6.11,,,,,
60,T3,P5,15-30,West Pond,10,5,2.00,6.09,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
