Number,Tract,Point,Depth,Area,Moisture,pH,FeII_mmol,FeT_mmol,FeII_mg.g,FeT_mg.g,FeIII_mg.g,FePC_mg.g,Al_mg.g,N,C
1,T1,P1,0-15,East End,0.426086957,6.21,60.58910204,85.77856909,20.78451831,29.42552671,8.641008395,0.223105397,0.026139783,0.695,11.615
3,T1,P2,0-15,East End,0.420901246,5.8,27.65806266,45.7121377,10.6266225,17.56325586,6.936633358,0.192767369,0.023219979,0.59,9.95
5,T1,P3,0-15,East End,0.397111913,6.04,32.33150713,44.59614956,12.70840179,17.52921027,4.820808482,0.173598153,0.014234977,0.555,9.235
7,T1,P4,0-15,East End,0.401923077,6,38.76408471,52.59940374,11.24129812,15.2534384,4.012140282,0.201345371,0.020831339,0.61,9.805
9,T1,P5,0-15,East End,0.43551797,6.02,30.21400623,35.44253148,13.42464576,15.74777692,2.323131158,0.200243185,0.020589822,0.575,8.97
11,T2,P1,0-15,East End,0.465825447,6.06,33.04177671,50.81554486,15.63103629,24.03925288,8.40821659,0.288860331,0.026417881,0.64,10.115
13,T2,P2,0-15,East End,0.406654344,5.99,27.16069441,33.18547802,13.15484243,16.07284879,2.918006362,0.261445801,0.026383772,0.635,11.415
15,T2,P3,0-15,East End,0.419386746,6.24,32.23436954,38.56494426,14.26611572,17.06786778,2.801752067,0.24027182,0.022889332,0.61,9.845
17,T2,P4,0-15,East End,0.423312883,6.03,31.03666061,35.14507506,13.35832694,15.12660814,1.768281198,0.228867723,0.020100242,0.56,8.93
19,T2,P5,0-15,East End,0.41253508,6.03,29.33221838,36.58114358,13.32061974,16.61256905,3.291949311,0.266081563,0.027311975,0.6,9.68
21,T3,P1,0-15,East End,0.492063492,5.83,26.38714065,33.71111281,18.51851461,23.65848362,5.139969014,0.277305963,0.014741469,0.53,8.665
23,T3,P2,0-15,East End,0.443452381,5.4,22.66898903,36.77705245,12.97373976,21.04795706,8.074217303,0.277383375,0.01946024,0.59,9.87
25,T3,P3,0-15,East End,0.377,6.04,32.81354417,42.37241871,13.70251639,17.69418014,3.991663755,0.241620045,0.017953478,0.69,11.145
27,T3,P4,0-15,East End,0.375886525,6.18,30.65793522,42.74195949,12.1029582,16.87341777,4.770459574,0.201487817,0.017328566,0.615,9.95
29,T3,P5,0-15,East End,0.509,5.78,36.43136722,49.99981944,19.21369094,26.36961363,7.155922693,0.41899922,0.025381101,0.655,9.925
31,T1,P1,0-15,West Pond,0.813786008,6.34,0.430288291,0.109940747,0.809916833,0.206937683,0,0.022616607,0,1.785,40.91
33,T1,P2,0-15,West Pond,0.829449153,6.31,0.226478796,0.039830086,0.460625141,0.081008639,0,0,0,2.115,41.89
35,T1,P3,0-15,West Pond,0.836567926,6.09,0.376196471,-0.009506444,0.652545874,-0.016489763,0,0,0,2.318627238,40.81496429
37,T1,P4,0-15,West Pond,0.821854913,6.12,0.28803124,0.006427569,0.480294644,0.010718029,0,0,0,1.605,31.64
39,T1,P5,0-15,West Pond,0.844011142,6.04,0.362743444,0.059902946,0.538131643,0.088866308,0,0.002522554,0,2.099634767,39.34507179
41,T2,P1,0-15,West Pond,0.797202797,6.6,0.281254563,0.067865615,0.381541187,0.092064382,0,0.018318659,0,1.675,44.63
43,T2,P2,0-15,West Pond,0.830462375,5.98,0.264778322,0.109949727,0.438291556,0.182001444,0,0,0,1.905,41.76
